Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Pattern_ID,Timing_ns,Temperature_C
1,LOT_ATPG10,W01,D0001,0.75,0.8,PASS,NA,PAT_SCAN_003,1.256,25
2,LOT_ATPG10,W01,D0001,0.75,0.86,PASS,NA,PAT_SCAN_004,1.133,25
3,LOT_ATPG10,W01,D0001,0.75,0.93,PASS,NA,PAT_SCAN_010,1.027,25
4,LOT_ATPG10,W01,D0001,0.75,0.99,PASS,NA,PAT_SCAN_001,1.002,25
5,LOT_ATPG10,W01,D0001,0.75,1.05,PASS,NA,PAT_SCAN_010,0.939,25
6,LOT_ATPG10,W01,D0001,0.75,1.12,PASS,NA,PAT_SCAN_001,0.891,25
7,LOT_ATPG10,W01,D0001,0.75,1.18,PASS,NA,PAT_SCAN_001,0.832,25
8,LOT_ATPG10,W01,D0001,0.75,1.24,PASS,NA,PAT_SCAN_003,0.818,25
9,LOT_ATPG10,W01,D0001,0.75,1.31,PASS,NA,PAT_SCAN_005,0.807,25
10,LOT_ATPG10,W01,D0001,0.75,1.37,PASS,NA,PAT_SCAN_009,0.774,25
11,LOT_ATPG10,W01,D0001,0.75,1.43,PASS,NA,PAT_SCAN_001,0.734,25
12,LOT_ATPG10,W01,D0001,0.75,1.49,PASS,NA,PAT_SCAN_005,0.67,25
13,LOT_ATPG10,W01,D0001,0.75,1.56,FAIL,TIMING,PAT_SCAN_007,0.619,25
14,LOT_ATPG10,W01,D0001,0.75,1.62,FAIL,TIMING,PAT_SCAN_003,0.589,25
15,LOT_ATPG10,W01,D0001,0.75,1.68,FAIL,FREQ_MARGIN,PAT_SCAN_002,0.589,25
16,LOT_ATPG10,W01,D0001,0.75,1.75,FAIL,TIMING,PAT_SCAN_003,0.565,25
17,LOT_ATPG10,W01,D0001,0.75,1.81,FAIL,FREQ_MARGIN,PAT_SCAN_005,0.558,25
18,LOT_ATPG10,W01,D0001,0.75,1.87,FAIL,FREQ_MARGIN,PAT_SCAN_005,0.544,25
19,LOT_ATPG10,W01,D0001,0.75,1.94,FAIL,TIMING,PAT_SCAN_007,0.564,25
20,LOT_ATPG10,W01,D0001,0.75,2.0,FAIL,TIMING,PAT_SCAN_007,0.475,25
21,LOT_ATPG10,W01,D0001,0.79,0.8,PASS,NA,PAT_SCAN_005,1.261,25
22,LOT_ATPG10,W01,D0001,0.79,0.86,PASS,NA,PAT_SCAN_002,1.168,25
23,LOT_ATPG10,W01,D0001,0.79,0.93,PASS,NA,PAT_SCAN_006,1.068,25
24,LOT_ATPG10,W01,D0001,0.79,0.99,PASS,NA,PAT_SCAN_009,0.98,25
25,LOT_ATPG10,W01,D0001,0.79,1.05,PASS,NA,PAT_SCAN_002,0.981,25
26,LOT_ATPG10,W01,D0001,0.79,1.12,PASS,NA,PAT_SCAN_004,0.891,25
27,LOT_ATPG10,W01,D0001,0.79,1.18,PASS,NA,PAT_SCAN_006,0.822,25
28,LOT_ATPG10,W01,D0001,0.79,1.24,PASS,NA,PAT_SCAN_002,0.786,25
29,LOT_ATPG10,W01,D0001,0.79,1.31,PASS,NA,PAT_SCAN_007,0.779,25
30,LOT_ATPG10,W01,D0001,0.79,1.37,PASS,NA,PAT_SCAN_010,0.737,25
31,LOT_ATPG10,W01,D0001,0.79,1.43,PASS,NA,PAT_SCAN_008,0.717,25
32,LOT_ATPG10,W01,D0001,0.79,1.49,PASS,NA,PAT_SCAN_004,0.706,25
33,LOT_ATPG10,W01,D0001,0.79,1.56,PASS,NA,PAT_SCAN_004,0.659,25
34,LOT_ATPG10,W01,D0001,0.79,1.62,PASS,NA,PAT_SCAN_008,0.627,25
35,LOT_ATPG10,W01,D0001,0.79,1.68,PASS,NA,PAT_SCAN_007,0.566,25
36,LOT_ATPG10,W01,D0001,0.79,1.75,FAIL,FREQ_MARGIN,PAT_SCAN_004,0.571,25
37,LOT_ATPG10,W01,D0001,0.79,1.81,FAIL,FREQ_MARGIN,PAT_SCAN_005,0.578,25
