Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
1,D0001,0.7,0.6,PASS,NA,0.24,1.667,111.0,25.0
2,D0001,0.7,0.679,PASS,NA,0.161,1.473,114.6,25.0
3,D0001,0.7,0.758,PASS,NA,0.082,1.319,118.1,25.0
4,D0001,0.7,0.837,PASS,NA,0.003,1.195,121.7,25.0
5,D0001,0.7,0.917,FAIL,FREQ_MARGIN,-0.077,1.091,125.3,25.0
6,D0001,0.7,0.996,FAIL,FREQ_MARGIN,-0.156,1.004,128.8,25.0
7,D0001,0.7,1.075,FAIL,FREQ_MARGIN,-0.235,0.93,132.4,25.0
8,D0001,0.7,1.154,FAIL,FREQ_MARGIN,-0.314,0.867,135.9,25.0
9,D0001,0.7,1.233,FAIL,FREQ_MARGIN,-0.393,0.811,139.5,25.0
10,D0001,0.7,1.312,FAIL,FREQ_MARGIN,-0.472,0.762,143.0,25.0
11,D0001,0.7,1.392,FAIL,FREQ_MARGIN,-0.552,0.718,146.6,25.0
12,D0001,0.7,1.471,FAIL,FREQ_MARGIN,-0.631,0.68,150.2,25.0
13,D0001,0.7,1.55,FAIL,FREQ_MARGIN,-0.71,0.645,153.8,25.0
14,D0001,0.7,1.629,FAIL,FREQ_MARGIN,-0.789,0.614,157.3,25.0
15,D0001,0.7,1.708,FAIL,FREQ_MARGIN,-0.868,0.585,160.9,25.0
16,D0001,0.7,1.788,FAIL,FREQ_MARGIN,-0.948,0.559,164.5,25.0
17,D0001,0.7,1.867,FAIL,FREQ_MARGIN,-1.027,0.536,168.0,25.0
18,D0001,0.7,1.946,FAIL,FREQ_MARGIN,-1.106,0.514,171.6,25.0
19,D0001,0.7,2.025,FAIL,FREQ_MARGIN,-1.185,0.494,175.1,25.0
20,D0001,0.7,2.104,FAIL,FREQ_MARGIN,-1.264,0.475,178.7,25.0
21,D0001,0.7,2.183,FAIL,FREQ_MARGIN,-1.343,0.458,182.2,25.0
22,D0001,0.7,2.262,FAIL,FREQ_MARGIN,-1.422,0.442,185.8,25.0
23,D0001,0.7,2.342,FAIL,FREQ_MARGIN,-1.502,0.427,189.4,25.0
24,D0001,0.7,2.421,FAIL,FREQ_MARGIN,-1.581,0.413,192.9,25.0
25,D0001,0.7,2.5,FAIL,FREQ_MARGIN,-1.66,0.4,196.5,25.0
26,D0001,0.726,0.6,PASS,NA,0.323,1.667,114.1,25.0
27,D0001,0.726,0.679,PASS,NA,0.244,1.473,117.7,25.0
28,D0001,0.726,0.758,PASS,NA,0.165,1.319,121.2,25.0
29,D0001,0.726,0.837,PASS,NA,0.086,1.195,124.8,25.0
30,D0001,0.726,0.917,PASS,NA,0.006,1.091,128.4,25.0
31,D0001,0.726,0.996,FAIL,FREQ_MARGIN,-0.073,1.004,131.9,25.0
32,D0001,0.726,1.075,FAIL,FREQ_MARGIN,-0.152,0.93,135.5,25.0
33,D0001,0.726,1.154,FAIL,FREQ_MARGIN,-0.231,0.867,139.0,25.0
34,D0001,0.726,1.233,FAIL,FREQ_MARGIN,-0.31,0.811,142.6,25.0
35,D0001,0.726,1.312,FAIL,FREQ_MARGIN,-0.389,0.762,146.2,25.0
36,D0001,0.726,1.392,FAIL,FREQ_MARGIN,-0.469,0.718,149.8,25.0
37,D0001,0.726,1.471,FAIL,FREQ_MARGIN,-0.548,0.68,153.3,25.0
38,D0001,0.726,1.55,FAIL,FREQ_MARGIN,-0.627,0.645,156.9,25.0
39,D0001,0.726,1.629,FAIL,FREQ_MARGIN,-0.706,0.614,160.4,25.0
40,D0001,0.726,1.708,FAIL,FREQ_MARGIN,-0.785,0.585,164.0,25.0
41,D0001,0.726,1.788,FAIL,FREQ_MARGIN,-0.865,0.559,167.6,25.0
42,D0001,0.726,1.867,FAIL,FREQ_MARGIN,-0.944,0.536,171.1,25.0
43,D0001,0.726,1.946,FAIL,FREQ_MARGIN,-1.023,0.514,174.7,25.0
44,D0001,0.726,2.025,FAIL,FREQ_MARGIN,-1.102,0.494,178.2,25.0
45,D0001,0.726,2.104,FAIL,FREQ_MARGIN,-1.181,0.475,181.8,25.0
46,D0001,0.726,2.183,FAIL,FREQ_MARGIN,-1.26,0.458,185.4,25.0
47,D0001,0.726,2.262,FAIL,FREQ_MARGIN,-1.339,0.442,188.9,25.0
48,D0001,0.726,2.342,FAIL,FREQ_MARGIN,-1.419,0.427,192.5,25.0
49,D0001,0.726,2.421,FAIL,FREQ_MARGIN,-1.498,0.413,196.1,25.0
50,D0001,0.726,2.5,FAIL,FREQ_MARGIN,-1.577,0.4,199.6,25.0
51,D0001,0.753,0.6,PASS,NA,0.41,1.667,117.4,25.0
52,D0001,0.753,0.679,PASS,NA,0.331,1.473,120.9,25.0
53,D0001,0.753,0.758,PASS,NA,0.252,1.319,124.5,25.0
54,D0001,0.753,0.837,PASS,NA,0.173,1.195,128.0,25.0
55,D0001,0.753,0.917,PASS,NA,0.093,1.091,131.6,25.0
56,D0001,0.753,0.996,PASS,NA,0.014,1.004,135.2,25.0
57,D0001,0.753,1.075,FAIL,FREQ_MARGIN,-0.065,0.93,138.7,25.0
58,D0001,0.753,1.154,FAIL,FREQ_MARGIN,-0.144,0.867,142.3,25.0
59,D0001,0.753,1.233,FAIL,FREQ_MARGIN,-0.223,0.811,145.8,25.0
60,D0001,0.753,1.312,FAIL,FREQ_MARGIN,-0.302,0.762,149.4,25.0
61,D0001,0.753,1.392,FAIL,FREQ_MARGIN,-0.382,0.718,153.0,25.0
62,D0001,0.753,1.471,FAIL,FREQ_MARGIN,-0.461,0.68,156.6,25.0
63,D0001,0.753,1.55,FAIL,FREQ_MARGIN,-0.54,0.645,160.1,25.0
64,D0001,0.753,1.629,FAIL,FREQ_MARGIN,-0.619,0.614,163.7,25.0
65,D0001,0.753,1.708,FAIL,FREQ_MARGIN,-0.698,0.585,167.2,25.0
66,D0001,0.753,1.788,FAIL,FREQ_MARGIN,-0.778,0.559,170.8,25.0
67,D0001,0.753,1.867,FAIL,FREQ_MARGIN,-0.857,0.536,174.4,25.0
68,D0001,0.753,1.946,FAIL,FREQ_MARGIN,-0.936,0.514,177.9,25.0
69,D0001,0.753,2.025,FAIL,FREQ_MARGIN,-1.015,0.494,181.5,25.0
70,D0001,0.753,2.104,FAIL,FREQ_MARGIN,-1.094,0.475,185.0,25.0
71,D0001,0.753,2.183,FAIL,FREQ_MARGIN,-1.173,0.458,188.6,25.0
72,D0001,0.753,2.262,FAIL,FREQ_MARGIN,-1.252,0.442,192.2,25.0
73,D0001,0.753,2.342,FAIL,FREQ_MARGIN,-1.332,0.427,195.8,25.0
