Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,March_Algorithm,Memory_Instance
1,LOT_M10,W01,D0001,0.75,0.8,PASS,NA,March_RAW,SRAM_SRAM0
2,LOT_M10,W01,D0001,0.75,0.86,PASS,NA,March_RAW,SRAM_SRAM2
3,LOT_M10,W01,D0001,0.75,0.93,PASS,NA,March_C_minus,SRAM_SRAM0
4,LOT_M10,W01,D0001,0.75,0.99,PASS,NA,March_RAW,SRAM_SRAM1
5,LOT_M10,W01,D0001,0.75,1.05,PASS,NA,March_RAW,SRAM_SRAM2
6,LOT_M10,W01,D0001,0.75,1.12,PASS,NA,March_RAW,SRAM_SRAM2
7,LOT_M10,W01,D0001,0.75,1.18,PASS,NA,March_C_minus,SRAM_SRAM2
8,LOT_M10,W01,D0001,0.75,1.24,PASS,NA,March_SS,SRAM_SRAM0
9,LOT_M10,W01,D0001,0.75,1.31,PASS,NA,March_SS,SRAM_SRAM1
10,LOT_M10,W01,D0001,0.75,1.37,PASS,NA,March_SS,SRAM_SRAM1
11,LOT_M10,W01,D0001,0.75,1.43,PASS,NA,March_C_minus,SRAM_SRAM0
12,LOT_M10,W01,D0001,0.75,1.49,PASS,NA,March_SS,SRAM_SRAM1
13,LOT_M10,W01,D0001,0.75,1.56,FAIL,RETENTION_FAULT,March_C_minus,SRAM_SRAM0
14,LOT_M10,W01,D0001,0.75,1.62,FAIL,ADDRESS_DECODE_FAULT,March_RAW,SRAM_SRAM1
15,LOT_M10,W01,D0001,0.75,1.68,FAIL,COUPLING_FAULT,March_RAW,SRAM_SRAM1
16,LOT_M10,W01,D0001,0.75,1.75,FAIL,FREQ_MARGIN,March_RAW,SRAM_SRAM2
17,LOT_M10,W01,D0001,0.75,1.81,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM2
18,LOT_M10,W01,D0001,0.75,1.87,FAIL,FREQ_MARGIN,March_RAW,SRAM_SRAM0
19,LOT_M10,W01,D0001,0.75,1.94,FAIL,FREQ_MARGIN,March_SS,SRAM_SRAM0
20,LOT_M10,W01,D0001,0.75,2.0,FAIL,STUCK_AT,March_SS,SRAM_SRAM1
21,LOT_M10,W01,D0001,0.79,0.8,PASS,NA,March_SS,SRAM_SRAM2
22,LOT_M10,W01,D0001,0.79,0.86,PASS,NA,March_RAW,SRAM_SRAM0
23,LOT_M10,W01,D0001,0.79,0.93,PASS,NA,March_RAW,SRAM_SRAM2
24,LOT_M10,W01,D0001,0.79,0.99,PASS,NA,March_SS,SRAM_SRAM0
25,LOT_M10,W01,D0001,0.79,1.05,PASS,NA,March_SS,SRAM_SRAM1
26,LOT_M10,W01,D0001,0.79,1.12,PASS,NA,March_SS,SRAM_SRAM1
27,LOT_M10,W01,D0001,0.79,1.18,PASS,NA,March_SS,SRAM_SRAM1
28,LOT_M10,W01,D0001,0.79,1.24,PASS,NA,March_SS,SRAM_SRAM0
29,LOT_M10,W01,D0001,0.79,1.31,PASS,NA,March_RAW,SRAM_SRAM1
30,LOT_M10,W01,D0001,0.79,1.37,PASS,NA,March_SS,SRAM_SRAM1
31,LOT_M10,W01,D0001,0.79,1.43,PASS,NA,March_SS,SRAM_SRAM1
32,LOT_M10,W01,D0001,0.79,1.49,PASS,NA,March_SS,SRAM_SRAM2
33,LOT_M10,W01,D0001,0.79,1.56,PASS,NA,March_RAW,SRAM_SRAM1
34,LOT_M10,W01,D0001,0.79,1.62,PASS,NA,March_RAW,SRAM_SRAM0
35,LOT_M10,W01,D0001,0.79,1.68,PASS,NA,March_SS,SRAM_SRAM0
36,LOT_M10,W01,D0001,0.79,1.75,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM1
37,LOT_M10,W01,D0001,0.79,1.81,FAIL,ADDRESS_DECODE_FAULT,March_SS,SRAM_SRAM0
38,LOT_M10,W01,D0001,0.79,1.87,FAIL,STUCK_AT,March_C_minus,SRAM_SRAM0
39,LOT_M10,W01,D0001,0.79,1.94,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM0
40,LOT_M10,W01,D0001,0.79,2.0,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM2
41,LOT_M10,W01,D0001,0.84,0.8,PASS,NA,March_C_minus,SRAM_SRAM2
42,LOT_M10,W01,D0001,0.84,0.86,PASS,NA,March_RAW,SRAM_SRAM0
43,LOT_M10,W01,D0001,0.84,0.93,PASS,NA,March_RAW,SRAM_SRAM0
44,LOT_M10,W01,D0001,0.84,0.99,PASS,NA,March_SS,SRAM_SRAM2
45,LOT_M10,W01,D0001,0.84,1.05,PASS,NA,March_SS,SRAM_SRAM0
46,LOT_M10,W01,D0001,0.84,1.12,PASS,NA,March_RAW,SRAM_SRAM0
47,LOT_M10,W01,D0001,0.84,1.18,PASS,NA,March_SS,SRAM_SRAM0
48,LOT_M10,W01,D0001,0.84,1.24,PASS,NA,March_RAW,SRAM_SRAM2
49,LOT_M10,W01,D0001,0.84,1.31,PASS,NA,March_SS,SRAM_SRAM0
50,LOT_M10,W01,D0001,0.84,1.37,PASS,NA,March_RAW,SRAM_SRAM1
51,LOT_M10,W01,D0001,0.84,1.43,PASS,NA,March_RAW,SRAM_SRAM2
52,LOT_M10,W01,D0001,0.84,1.49,PASS,NA,March_C_minus,SRAM_SRAM2
53,LOT_M10,W01,D0001,0.84,1.56,PASS,NA,March_C_minus,SRAM_SRAM2
54,LOT_M10,W01,D0001,0.84,1.62,PASS,NA,March_SS,SRAM_SRAM2
55,LOT_M10,W01,D0001,0.84,1.68,PASS,NA,March_C_minus,SRAM_SRAM0
56,LOT_M10,W01,D0001,0.84,1.75,PASS,NA,March_SS,SRAM_SRAM2
57,LOT_M10,W01,D0001,0.84,1.81,PASS,NA,March_RAW,SRAM_SRAM1
58,LOT_M10,W01,D0001,0.84,1.87,PASS,NA,March_RAW,SRAM_SRAM2
59,LOT_M10,W01,D0001,0.84,1.94,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM2
60,LOT_M10,W01,D0001,0.84,2.0,FAIL,ADDRESS_DECODE_FAULT,March_SS,SRAM_SRAM0
61,LOT_M10,W01,D0001,0.88,0.8,PASS,NA,March_RAW,SRAM_SRAM0
62,LOT_M10,W01,D0001,0.88,0.86,PASS,NA,March_C_minus,SRAM_SRAM1
63,LOT_M10,W01,D0001,0.88,0.93,PASS,NA,March_C_minus,SRAM_SRAM2
64,LOT_M10,W01,D0001,0.88,0.99,PASS,NA,March_RAW,SRAM_SRAM0
65,LOT_M10,W01,D0001,0.88,1.05,PASS,NA,March_RAW,SRAM_SRAM2
66,LOT_M10,W01,D0001,0.88,1.12,PASS,NA,March_C_minus,SRAM_SRAM0
67,LOT_M10,W01,D0001,0.88,1.18,PASS,NA,March_RAW,SRAM_SRAM2
68,LOT_M10,W01,D0001,0.88,1.24,PASS,NA,March_RAW,SRAM_SRAM1
69,LOT_M10,W01,D0001,0.88,1.31,PASS,NA,March_SS,SRAM_SRAM1
70,LOT_M10,W01,D0001,0.88,1.37,PASS,NA,March_C_minus,SRAM_SRAM1
71,LOT_M10,W01,D0001,0.88,1.43,PASS,NA,March_C_minus,SRAM_SRAM0
72,LOT_M10,W01,D0001,0.88,1.49,PASS,NA,March_SS,SRAM_SRAM1
73,LOT_M10,W01,D0001,0.88,1.56,PASS,NA,March_SS,SRAM_SRAM2
74,LOT_M10,W01,D0001,0.88,1.62,PASS,NA,March_SS,SRAM_SRAM2
75,LOT_M10,W01,D0001,0.88,1.68,PASS,NA,March_C_minus,SRAM_SRAM2
76,LOT_M10,W01,D0001,0.88,1.75,PASS,NA,March_SS,SRAM_SRAM0
77,LOT_M10,W01,D0001,0.88,1.81,PASS,NA,March_C_minus,SRAM_SRAM0
78,LOT_M10,W01,D0001,0.88,1.87,PASS,NA,March_RAW,SRAM_SRAM1
79,LOT_M10,W01,D0001,0.88,1.94,PASS,NA,March_C_minus,SRAM_SRAM0
80,LOT_M10,W01,D0001,0.88,2.0,PASS,NA,March_C_minus,SRAM_SRAM2
81,LOT_M10,W01,D0001,0.93,0.8,PASS,NA,March_RAW,SRAM_SRAM1
82,LOT_M10,W01,D0001,0.93,0.86,PASS,NA,March_RAW,SRAM_SRAM0
83,LOT_M10,W01,D0001,0.93,0.93,PASS,NA,March_SS,SRAM_SRAM0
84,LOT_M10,W01,D0001,0.93,0.99,PASS,NA,March_C_minus,SRAM_SRAM2
85,LOT_M10,W01,D0001,0.93,1.05,PASS,NA,March_SS,SRAM_SRAM2
86,LOT_M10,W01,D0001,0.93,1.12,PASS,NA,March_RAW,SRAM_SRAM1
87,LOT_M10,W01,D0001,0.93,1.18,PASS,NA,March_C_minus,SRAM_SRAM0
88,LOT_M10,W01,D0001,0.93,1.24,PASS,NA,March_SS,SRAM_SRAM0
89,LOT_M10,W01,D0001,0.93,1.31,PASS,NA,March_SS,SRAM_SRAM1
90,LOT_M10,W01,D0001,0.93,1.37,PASS,NA,March_RAW,SRAM_SRAM1
91,LOT_M10,W01,D0001,0.93,1.43,PASS,NA,March_RAW,SRAM_SRAM0
92,LOT_M10,W01,D0001,0.93,1.49,PASS,NA,March_C_minus,SRAM_SRAM0
93,LOT_M10,W01,D0001,0.93,1.56,PASS,NA,March_C_minus,SRAM_SRAM2
94,LOT_M10,W01,D0001,0.93,1.62,PASS,NA,March_C_minus,SRAM_SRAM1
95,LOT_M10,W01,D0001,0.93,1.68,PASS,NA,March_SS,SRAM_SRAM1
96,LOT_M10,W01,D0001,0.93,1.75,PASS,NA,March_RAW,SRAM_SRAM0
97,LOT_M10,W01,D0001,0.93,1.81,PASS,NA,March_C_minus,SRAM_SRAM0
98,LOT_M10,W01,D0001,0.93,1.87,PASS,NA,March_RAW,SRAM_SRAM1
99,LOT_M10,W01,D0001,0.93,1.94,PASS,NA,March_SS,SRAM_SRAM0
100,LOT_M10,W01,D0001,0.93,2.0,PASS,NA,March_SS,SRAM_SRAM1
101,LOT_M10,W01,D0001,0.97,0.8,PASS,NA,March_RAW,SRAM_SRAM2
