Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,March_Algorithm,Memory_Instance,Memory_Address,Test_ID,Test_Result,Failure_Code,Margin_GHz
1,LOT_B001,W002,D0002,0.7,0.62,85,63.205,1.1599,1.5093,1.639,MARCH_SS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.35
2,LOT_B001,W002,D0002,0.7,0.657,85,63.173,1.1063,1.411,1.646,MATS_PLUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.3132
3,LOT_B001,W002,D0002,0.7,0.694,85,63.412,1.0188,1.3195,1.753,MARCH_Y,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2763
4,LOT_B001,W002,D0002,0.7,0.731,85,62.702,0.9782,1.4012,1.796,MARCH_B,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2395
5,LOT_B001,W002,D0002,0.7,0.767,85,63.74,0.924,1.4139,1.752,MARCH_C_MINUS,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2026
6,LOT_B001,W002,D0002,0.7,0.804,85,63.033,0.9048,1.4808,1.71,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1658
7,LOT_B001,W002,D0002,0.7,0.841,85,64.208,0.8455,1.5233,1.678,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1289
8,LOT_B001,W002,D0002,0.7,0.878,85,68.691,0.8321,1.475,1.83,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.0921
9,LOT_B001,W002,D0002,0.7,0.915,85,64.644,0.7841,1.3392,1.807,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0553
10,LOT_B001,W002,D0002,0.7,0.952,85,63.093,0.7478,1.3671,1.801,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0184
11,LOT_B001,W002,D0002,0.7,0.988,85,64.392,0.7346,1.54,1.793,MARCH_SS,CACHE_L2,0x9704,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
12,LOT_B001,W002,D0002,0.7,1.025,85,66.019,0.7082,1.3858,1.693,MATS_PLUS,REGFILE_A,0x2E3D,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
