Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
1,D0001,0.7,0.6,PASS,NA,0.24,1.667,121.0,25.0
2,D0001,0.7,0.679,PASS,NA,0.161,1.473,125.0,25.0
3,D0001,0.7,0.758,PASS,NA,0.082,1.319,128.9,25.0
4,D0001,0.7,0.837,PASS,NA,0.003,1.195,132.8,25.0
5,D0001,0.7,0.917,FAIL,MARGINALITY_IR_DROP,-0.077,1.091,136.8,25.0
6,D0001,0.7,0.996,FAIL,MARGINALITY_IR_DROP,-0.156,1.004,140.8,25.0
7,D0001,0.7,1.075,FAIL,MARGINALITY_IR_DROP,-0.235,0.93,144.8,25.0
8,D0001,0.7,1.154,FAIL,MARGINALITY_IR_DROP,-0.314,0.867,148.7,25.0
9,D0001,0.7,1.233,FAIL,MARGINALITY_IR_DROP,-0.393,0.811,152.6,25.0
10,D0001,0.7,1.312,FAIL,MARGINALITY_IR_DROP,-0.472,0.762,156.6,25.0
11,D0001,0.7,1.392,FAIL,MARGINALITY_IR_DROP,-0.552,0.718,160.6,25.0
12,D0001,0.7,1.471,FAIL,MARGINALITY_IR_DROP,-0.631,0.68,164.6,25.0
13,D0001,0.7,1.55,FAIL,MARGINALITY_IR_DROP,-0.71,0.645,168.5,25.0
14,D0001,0.7,1.629,FAIL,MARGINALITY_IR_DROP,-0.789,0.614,172.4,25.0
15,D0001,0.7,1.708,FAIL,MARGINALITY_IR_DROP,-0.868,0.585,176.4,25.0
16,D0001,0.7,1.788,FAIL,MARGINALITY_IR_DROP,-0.948,0.559,180.4,25.0
17,D0001,0.7,1.867,FAIL,MARGINALITY_IR_DROP,-1.027,0.536,184.4,25.0
18,D0001,0.7,1.946,FAIL,MARGINALITY_IR_DROP,-1.106,0.514,188.3,25.0
19,D0001,0.7,2.025,FAIL,MARGINALITY_IR_DROP,-1.185,0.494,192.2,25.0
20,D0001,0.7,2.104,FAIL,MARGINALITY_IR_DROP,-1.264,0.475,196.2,25.0
21,D0001,0.7,2.183,FAIL,MARGINALITY_IR_DROP,-1.343,0.458,200.1,25.0
22,D0001,0.7,2.262,FAIL,MARGINALITY_IR_DROP,-1.422,0.442,204.1,25.0
23,D0001,0.7,2.342,FAIL,MARGINALITY_IR_DROP,-1.502,0.427,208.1,25.0
24,D0001,0.7,2.421,FAIL,MARGINALITY_IR_DROP,-1.581,0.413,212.0,25.0
25,D0001,0.7,2.5,FAIL,MARGINALITY_IR_DROP,-1.66,0.4,216.0,25.0
26,D0001,0.726,0.6,PASS,NA,0.323,1.667,124.4,25.0
27,D0001,0.726,0.679,PASS,NA,0.244,1.473,128.3,25.0
28,D0001,0.726,0.758,PASS,NA,0.165,1.319,132.3,25.0
29,D0001,0.726,0.837,PASS,NA,0.086,1.195,136.2,25.0
