Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
1,D0001,0.7,0.6,PASS,NA,0.24,1.667,116.3,25.0
2,D0001,0.7,0.679,PASS,NA,0.161,1.473,120.1,25.0
3,D0001,0.7,0.758,PASS,NA,0.082,1.319,123.9,25.0
4,D0001,0.7,0.837,PASS,NA,0.003,1.195,127.7,25.0
5,D0001,0.7,0.917,FAIL,MARGINALITY_VDDL_FAIL,-0.077,1.091,131.5,25.0
6,D0001,0.7,0.996,FAIL,MARGINALITY_VDDL_FAIL,-0.156,1.004,135.3,25.0
7,D0001,0.7,1.075,FAIL,MARGINALITY_VDDL_FAIL,-0.235,0.93,139.1,25.0
8,D0001,0.7,1.154,FAIL,MARGINALITY_VDDL_FAIL,-0.314,0.867,142.9,25.0
9,D0001,0.7,1.233,FAIL,MARGINALITY_VDDL_FAIL,-0.393,0.811,146.7,25.0
10,D0001,0.7,1.312,FAIL,MARGINALITY_VDDL_FAIL,-0.472,0.762,150.5,25.0
11,D0001,0.7,1.392,FAIL,MARGINALITY_VDDL_FAIL,-0.552,0.718,154.3,25.0
12,D0001,0.7,1.471,FAIL,MARGINALITY_VDDL_FAIL,-0.631,0.68,158.1,25.0
13,D0001,0.7,1.55,FAIL,MARGINALITY_VDDL_FAIL,-0.71,0.645,161.9,25.0
14,D0001,0.7,1.629,FAIL,MARGINALITY_VDDL_FAIL,-0.789,0.614,165.7,25.0
15,D0001,0.7,1.708,FAIL,MARGINALITY_VDDL_FAIL,-0.868,0.585,169.5,25.0
16,D0001,0.7,1.788,FAIL,MARGINALITY_VDDL_FAIL,-0.948,0.559,173.3,25.0
17,D0001,0.7,1.867,FAIL,MARGINALITY_VDDL_FAIL,-1.027,0.536,177.1,25.0
18,D0001,0.7,1.946,FAIL,MARGINALITY_VDDL_FAIL,-1.106,0.514,180.9,25.0
