Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
1,D0001,0.7,0.6,PASS,NA,0.24,1.667,220.0,85.0
2,D0001,0.7,0.679,PASS,NA,0.161,1.473,228.7,85.0
3,D0001,0.7,0.758,PASS,NA,0.082,1.319,237.4,85.0
4,D0001,0.7,0.837,PASS,NA,0.003,1.195,246.1,85.0
5,D0001,0.7,0.917,FAIL,FREQ_MARGIN,-0.077,1.091,254.9,85.0
6,D0001,0.7,0.996,FAIL,FREQ_MARGIN,-0.156,1.004,263.6,85.0
7,D0001,0.7,1.075,FAIL,FREQ_MARGIN,-0.235,0.93,272.2,85.0
8,D0001,0.7,1.154,FAIL,FREQ_MARGIN,-0.314,0.867,280.9,85.0
9,D0001,0.7,1.233,FAIL,FREQ_MARGIN,-0.393,0.811,289.6,85.0
10,D0001,0.7,1.312,FAIL,FREQ_MARGIN,-0.472,0.762,298.3,85.0
11,D0001,0.7,1.392,FAIL,FREQ_MARGIN,-0.552,0.718,307.1,85.0
12,D0001,0.7,1.471,FAIL,FREQ_MARGIN,-0.631,0.68,315.8,85.0
13,D0001,0.7,1.55,FAIL,FREQ_MARGIN,-0.71,0.645,324.5,85.0
14,D0001,0.7,1.629,FAIL,FREQ_MARGIN,-0.789,0.614,333.2,85.0
15,D0001,0.7,1.708,FAIL,POWER_IR_DROP_FAIL,-0.868,0.585,341.9,85.0
16,D0001,0.7,1.788,FAIL,POWER_IR_DROP_FAIL,-0.948,0.559,350.7,85.0
17,D0001,0.7,1.867,FAIL,POWER_IR_DROP_FAIL,-1.027,0.536,359.4,85.0
18,D0001,0.7,1.946,FAIL,POWER_IR_DROP_FAIL,-1.106,0.514,368.1,85.0
19,D0001,0.7,2.025,FAIL,POWER_IR_DROP_FAIL,-1.185,0.494,376.8,85.0
20,D0001,0.7,2.104,FAIL,POWER_IR_DROP_FAIL,-1.264,0.475,385.4,85.0
21,D0001,0.7,2.183,FAIL,POWER_IR_DROP_FAIL,-1.343,0.458,394.1,85.0
22,D0001,0.7,2.262,FAIL,POWER_IR_DROP_FAIL,-1.422,0.442,402.8,85.0
23,D0001,0.7,2.342,FAIL,POWER_IR_DROP_FAIL,-1.502,0.427,411.6,85.0
24,D0001,0.7,2.421,FAIL,POWER_IR_DROP_FAIL,-1.581,0.413,420.3,85.0
25,D0001,0.7,2.5,FAIL,POWER_IR_DROP_FAIL,-1.66,0.4,429.0,85.0
26,D0001,0.726,0.6,PASS,NA,0.323,1.667,225.7,85.0
27,D0001,0.726,0.679,PASS,NA,0.244,1.473,234.4,85.0
28,D0001,0.726,0.758,PASS,NA,0.165,1.319,243.1,85.0
29,D0001,0.726,0.837,PASS,NA,0.086,1.195,251.8,85.0
30,D0001,0.726,0.917,PASS,NA,0.006,1.091,260.6,85.0
31,D0001,0.726,0.996,FAIL,FREQ_MARGIN,-0.073,1.004,269.3,85.0
32,D0001,0.726,1.075,FAIL,FREQ_MARGIN,-0.152,0.93,278.0,85.0
33,D0001,0.726,1.154,FAIL,FREQ_MARGIN,-0.231,0.867,286.7,85.0
34,D0001,0.726,1.233,FAIL,FREQ_MARGIN,-0.31,0.811,295.4,85.0
35,D0001,0.726,1.312,FAIL,FREQ_MARGIN,-0.389,0.762,304.0,85.0
