Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
1,D0001,0.7,0.6,PASS,NA,0.2,1.667,141.0,85.0
2,D0001,0.7,0.679,PASS,NA,0.121,1.473,145.7,85.0
3,D0001,0.7,0.758,PASS,NA,0.042,1.319,150.5,85.0
4,D0001,0.7,0.837,FAIL,FREQ_MARGIN,-0.037,1.195,155.2,85.0
5,D0001,0.7,0.917,FAIL,FREQ_MARGIN,-0.117,1.091,160.0,85.0
6,D0001,0.7,0.996,FAIL,FREQ_MARGIN,-0.196,1.004,164.8,85.0
7,D0001,0.7,1.075,FAIL,FREQ_MARGIN,-0.275,0.93,169.5,85.0
8,D0001,0.7,1.154,FAIL,FREQ_MARGIN,-0.354,0.867,174.2,85.0
9,D0001,0.7,1.233,FAIL,FREQ_MARGIN,-0.433,0.811,179.0,85.0
10,D0001,0.7,1.312,FAIL,FREQ_MARGIN,-0.512,0.762,183.7,85.0
11,D0001,0.7,1.392,FAIL,FREQ_MARGIN,-0.592,0.718,188.5,85.0
12,D0001,0.7,1.471,FAIL,FREQ_MARGIN,-0.671,0.68,193.3,85.0
13,D0001,0.7,1.55,FAIL,FREQ_MARGIN,-0.75,0.645,198.0,85.0
14,D0001,0.7,1.629,FAIL,FREQ_MARGIN,-0.829,0.614,202.7,85.0
15,D0001,0.7,1.708,FAIL,FREQ_MARGIN,-0.908,0.585,207.5,85.0
16,D0001,0.7,1.788,FAIL,FREQ_MARGIN,-0.988,0.559,212.3,85.0
17,D0001,0.7,1.867,FAIL,FREQ_MARGIN,-1.067,0.536,217.0,85.0
18,D0001,0.7,1.946,FAIL,FREQ_MARGIN,-1.146,0.514,221.8,85.0
19,D0001,0.7,2.025,FAIL,FREQ_MARGIN,-1.225,0.494,226.5,85.0
20,D0001,0.7,2.104,FAIL,FREQ_MARGIN,-1.304,0.475,231.2,85.0
21,D0001,0.7,2.183,FAIL,FREQ_MARGIN,-1.383,0.458,236.0,85.0
22,D0001,0.7,2.262,FAIL,FREQ_MARGIN,-1.462,0.442,240.7,85.0
