Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,Pattern_ID,Test_ID,Failure_Code,Margin_GHz
1,LOT_A001,W001,D0001,0.8,1,85,57.751,0.7437,3.508,1.791,ATPG_001,SCAN_AT_SPEED,NA,0.2409
2,LOT_A001,W001,D0001,0.8,1.02,85,61.703,0.7544,3.21,1.825,ATPG_002,SCAN_AT_SPEED,NA,0.2078
3,LOT_A001,W001,D0001,0.8,1.04,85,58.882,0.7536,2.993,1.738,ATPG_003,SCAN_AT_SPEED,NA,0.1837
4,LOT_A001,W001,D0001,0.8,1.06,85,58.757,0.7635,3.144,1.754,ATPG_004,SCAN_AT_SPEED,NA,0.1619
5,LOT_A001,W001,D0001,0.8,1.08,85,61.034,0.7676,3.066,1.793,ATPG_005,SCAN_AT_SPEED,NA,0.1784
6,LOT_A001,W001,D0001,0.8,1.1,85,60.228,0.7818,3.19,1.806,ATPG_006,SCAN_AT_SPEED,NA,0.134
7,LOT_A001,W001,D0001,0.8,1.12,85,66.494,0.7834,3.121,1.855,ATPG_007,SCAN_AT_SPEED,NA,0.1012
8,LOT_A001,W001,D0001,0.8,1.14,85,64.396,0.7569,3.081,1.833,ATPG_008,SCAN_AT_SPEED,NA,0.07
9,LOT_A001,W001,D0001,0.8,1.16,85,65.188,0.7987,3.235,1.77,ATPG_009,SCAN_AT_SPEED,NA,0.0853
10,LOT_A001,W001,D0001,0.8,1.18,85,64.911,0.8284,3.332,1.762,ATPG_010,SCAN_AT_SPEED,NA,0.039
11,LOT_A001,W001,D0001,0.8,1.2,85,65.907,0.8058,3.372,1.877,ATPG_011,SCAN_AT_SPEED,NA,0.0378
12,LOT_A001,W001,D0001,0.8,1.22,85,65.949,0.821,3.33,1.879,ATPG_012,SCAN_AT_SPEED,NA,0.0288
13,LOT_A001,W001,D0001,0.8,1.24,85,67.986,0.8153,3.101,1.876,ATPG_013,SCAN_AT_SPEED,FREQ_MARGIN,-0.0166
14,LOT_A001,W001,D0001,0.8,1.26,85,69.05,0.8619,3.334,1.821,ATPG_014,SCAN_AT_SPEED,FREQ_MARGIN,-0.0036
15,LOT_A001,W001,D0001,0.8,1.28,85,72.808,0.8518,3.515,1.746,ATPG_015,SCAN_AT_SPEED,FREQ_MARGIN,-0.0415
16,LOT_A001,W001,D0001,0.8,1.3,85,71.057,0.8556,3.294,1.774,ATPG_016,SCAN_AT_SPEED,FREQ_MARGIN,-0.0532
