Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,Pattern_ID,Test_ID,Test_Result,Failure_Code,Margin_GHz
1,LOT_B002,W002,D0002,0.75,0.8,85,73.723,1.2564,5.07,1.747,ATPG_072,SCAN_AT_SPEED,PASS,NA,0.3675
2,LOT_B002,W002,D0002,0.75,0.82,85,70.578,1.2274,5.194,1.717,ATPG_075,SCAN_AT_SPEED,PASS,NA,0.3475
3,LOT_B002,W002,D0002,0.75,0.84,85,73.342,1.2013,5.199,1.755,ATPG_088,SCAN_AT_SPEED,PASS,NA,0.3275
4,LOT_B002,W002,D0002,0.75,0.86,85,78.725,1.114,5.6,1.714,ATPG_021,SCAN_AT_SPEED,PASS,NA,0.3075
5,LOT_B002,W002,D0002,0.75,0.88,85,77.607,1.0936,5.152,1.936,ATPG_060,SCAN_AT_SPEED,PASS,NA,0.2875
6,LOT_B002,W002,D0002,0.75,0.9,85,77.285,1.1338,5.286,1.904,ATPG_051,SCAN_AT_SPEED,PASS,NA,0.2675
7,LOT_B002,W002,D0002,0.75,0.92,85,77.391,1.0811,5.172,1.905,ATPG_073,SCAN_AT_SPEED,PASS,NA,0.2475
8,LOT_B002,W002,D0002,0.75,0.94,85,78.173,1.0803,5.081,1.794,ATPG_060,SCAN_AT_SPEED,PASS,NA,0.2275
9,LOT_B002,W002,D0002,0.75,0.96,85,76.358,1.0138,5.357,1.709,ATPG_006,SCAN_AT_SPEED,PASS,NA,0.2075
10,LOT_B002,W002,D0002,0.75,0.98,85,79.837,1.0002,5.469,1.781,ATPG_018,SCAN_AT_SPEED,PASS,NA,0.1875
11,LOT_B002,W002,D0002,0.75,1.0,85,76.833,1.0017,5.385,1.882,ATPG_053,SCAN_AT_SPEED,PASS,NA,0.1675
12,LOT_B002,W002,D0002,0.75,1.02,85,78.913,0.9795,5.19,1.818,ATPG_041,SCAN_AT_SPEED,PASS,NA,0.1475
13,LOT_B002,W002,D0002,0.75,1.04,85,80.649,0.9802,5.499,1.931,ATPG_008,SCAN_AT_SPEED,PASS,NA,0.1275
14,LOT_B002,W002,D0002,0.75,1.06,85,82.223,0.9255,5.412,1.811,ATPG_005,SCAN_AT_SPEED,PASS,NA,0.1075
15,LOT_B002,W002,D0002,0.75,1.08,85,82.176,0.908,5.528,1.891,ATPG_062,SCAN_AT_SPEED,PASS,NA,0.0875
16,LOT_B002,W002,D0002,0.75,1.1,85,78.911,0.8904,5.506,1.777,ATPG_091,SCAN_AT_SPEED,PASS,NA,0.0675
17,LOT_B002,W002,D0002,0.75,1.12,85,85.168,0.9093,4.769,1.708,ATPG_027,SCAN_AT_SPEED,PASS,NA,0.0475
18,LOT_B002,W002,D0002,0.75,1.14,85,84.501,0.9299,5.27,1.909,ATPG_077,SCAN_AT_SPEED,PASS,NA,0.0275
19,LOT_B002,W002,D0002,0.75,1.16,85,82.75,0.9078,5.467,1.761,ATPG_023,SCAN_AT_SPEED,PASS,NA,0.0075
20,LOT_B002,W002,D0002,0.75,1.18,85,84.976,0.8575,5.207,1.961,ATPG_013,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0125
21,LOT_B002,W002,D0002,0.75,1.2,85,88.316,0.8054,5.21,1.965,ATPG_028,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0325
22,LOT_B002,W002,D0002,0.75,1.22,85,86.084,0.7927,5.385,1.749,ATPG_092,SCAN_AT_SPEED,FAIL,TIMING,-0.0525
23,LOT_B002,W002,D0002,0.75,1.24,85,85.162,0.798,5.009,1.736,ATPG_027,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0725
24,LOT_B002,W002,D0002,0.75,1.26,85,86.834,0.7518,5.179,1.719,ATPG_044,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0925
25,LOT_B002,W002,D0002,0.75,1.28,85,90.927,0.7807,4.909,1.785,ATPG_058,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1125
26,LOT_B002,W002,D0002,0.75,1.3,85,88.116,0.794,5.276,1.904,ATPG_081,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1325
27,LOT_B002,W002,D0002,0.75,1.32,85,86.747,0.7726,5.521,1.771,ATPG_053,SCAN_AT_SPEED,FAIL,TIMING,-0.1525
